"chi_id_travail","chp_resume_travail","cht_rev_travail","chx_utilisateur_travail","cht_utilisateur_travail","chd_dtc_travail","chp_etat_travail","chx_projet_travail","cht_log_travail","chn_duree_travail"
"32","compilation  insert sql_132 tbl_groupes","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(132)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(81.881)","81.881"
"33","compilation  select sql_131 tbl_groupes","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(131)))))","1","poipoip","2026-04-22 15:30:31.312","en_cours","3","{
  ""0"": [],
  ""1"": [],
  ""2"": [],
  ""3"": [],
  ""4"": []
}","0"
"34","compilation  liste_ecran sql_130 tbl_groupes","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(130)))))","1","poipoip","2026-04-22 15:30:31.312","en_file_d_attente","3",NULL,"0"
"35","compilation  delete sql_129 tbl_metiers","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(129)))))","1","poipoip","2026-04-22 15:30:31.312","en_file_d_attente","3",NULL,"0"
"36","compilation  update sql_127 tbl_metiers","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(127)))))","1","poipoip","2026-04-22 15:30:31.312","en_file_d_attente","3",NULL,"0"
"37","compilation  insert sql_126 tbl_metiers","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(126)))))","1","poipoip","2026-04-22 15:30:31.312","en_file_d_attente","3",NULL,"0"
"38","compilation  select sql_125 tbl_metiers","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(125)))))","1","poipoip","2026-04-22 15:30:31.312","en_file_d_attente","3",NULL,"0"
"39","compilation  liste_ecran sql_124 tbl_metiers","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(124)))))","1","poipoip","2026-04-22 15:30:31.312","en_file_d_attente","3",NULL,"0"
"40","compilation  delete sql_123 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(123)))))","1","poipoip","2026-04-22 15:30:31.312","en_file_d_attente","3",NULL,"0"
"41","compilation  update sql_122 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(122)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"42","compilation  select sql_121 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(121)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"43","compilation  insert sql_120 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(120)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"44","compilation  liste_ecran sql_119 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(119)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"45","compilation  delete sql_118 tbl_sources","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(118)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"46","compilation  insert sql_117 tbl_sources","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(117)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"47","compilation  select sql_116 tbl_sources","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(116)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"48","compilation  liste_ecran sql_115 tbl_sources","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(115)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"49","compilation  delete sql_114 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(114)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"50","compilation  update sql_113 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(113)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"51","compilation  select sql_112 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(112)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"52","compilation  insert sql_111 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(111)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"53","compilation  liste_ecran sql_110 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(110)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"54","compilation  update sql_109 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(109)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"55","compilation  select sql_108 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(108)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"56","compilation  update sql_107 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(107)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"57","compilation  select sql_101 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(101)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
